site_name,state,city,rail_served,acres,nearby_class1,transload_available,interstate_access,port_access,target_industries,source_url,source_confidence,last_verified,data_gap_notes
Access 25 Logistics Park,CO,Mead,Yes,300,"BNSF Railway, Union Pacific",Yes,Yes,No,"Warehousing, distribution, manufacturing, outdoor storage, construction materials",https://omnitrax.com/access-25/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Great Western Industrial Park,CO,Windsor,Yes,3000,"BNSF Railway, Union Pacific",Yes,Yes,No,"Manufacturing, food and agriculture, energy, construction materials, logistics",https://omnitrax.com/locations/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Savannah Gateway Industrial Hub,GA,Rincon,Yes,2600,"CSX Transportation, Norfolk Southern",Yes,Yes,Yes,"Manufacturing, warehousing, distribution, automotive suppliers, food and agriculture, chemicals",https://omnitrax.com/savannah-gateway-industrial-hub-2/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Savannah Industrial Transportation Transload Terminal,GA,Rincon,Yes,,"CSX Transportation, Norfolk Southern",Yes,Yes,Yes,"Dry bulk, liquid bulk, plastics, chemicals, food and agriculture, export logistics",https://omnitrax.com/savannah-gateway-industrial-hub-2/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Port of Brownsville Industrial Development Area,TX,Brownsville,Yes,40000,"Union Pacific, CPKC via UP",Yes,Yes,Yes,"Steel, energy, chemicals, food and agriculture, automotive, project cargo",https://omnitrax.com/brownsville-rio-grande/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Brownsville and Rio Grande Transload Terminal,TX,Brownsville,Yes,,"Union Pacific, CPKC via UP",Yes,Yes,Yes,"Dry bulk, liquid bulk, steel, agriculture, food products, general commodities",https://omnitrax.com/brownsville-rio-grande/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
River Ridge Commerce Center,IN,Jeffersonville,Yes,6000,CSX Transportation,Yes,Yes,Yes,"Aerospace, automotive, food and beverage, life sciences, pharmaceuticals, warehousing, distribution",https://omnitrax.com/river-ridge-development-authority/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Port Muskogee Industrial Complex,OK,Muskogee,Yes,1000,Union Pacific,Yes,Yes,Yes,"Chemicals, construction materials, energy, agriculture, metals, river-served manufacturing",https://omnitrax.com/our-managed-railroad-port-muskogee-railroad-llc/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Port Muskogee South Industrial Park,OK,Muskogee,Yes,,Union Pacific,Yes,Yes,Yes,"Bulk commodities, manufacturing, construction materials, energy, warehousing",https://omnitrax.com/our-managed-railroad-port-muskogee-railroad-llc/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
Port of Catoosa Industrial Railroad,OK,Catoosa,Yes,,"Union Pacific, BNSF Railway",Yes,Yes,Yes,"Energy, chemicals, steel, construction materials, agriculture, river-served logistics",https://omnitrax.com/locations/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
Sand Springs Railway Transload,OK,Tulsa,Yes,,"BNSF Railway, Union Pacific",Yes,Yes,No,"Steel, petroleum products, plastics, lumber, scrap, pulpboard, paper",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Stockton Rail-Ready Sites and Transload Terminal,CA,Stockton,Yes,,"BNSF Railway, Union Pacific",Yes,Yes,Yes,"Food and agriculture, dry bulk, liquid bulk, warehousing, chemicals, construction materials",https://omnitrax.com/stockton-terminal-and-eastern-railroad/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Fulton County Industrial Park,GA,Atlanta,Yes,,CSX Transportation,Yes,Yes,No,"Warehousing, light manufacturing, food products, metals, building materials, paper, packaging",https://omnitrax.com/locations/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
Chicago Rail Link Terminal,IL,Chicago,Yes,,"BNSF Railway, CN, CPKC, CSX, IAIS, Norfolk Southern, Union Pacific",Yes,Yes,Yes,"Dry bulk, liquid bulk, steel, chemicals, food, warehousing, port logistics",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Illinois Railway Ottawa Transload,IL,Ottawa,Yes,,"BNSF Railway, CN, CPKC, CSX, Union Pacific",Yes,Yes,No,"Industrial sand, dry bulk, liquid bulk, chemicals, construction materials, glass inputs",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Winchester and Western Martinsburg Transload,WV,Martinsburg,Yes,,"CSX Transportation, Norfolk Southern",Yes,Yes,No,"Dry bulk, liquid bulk, construction materials, chemicals, glass inputs, agricultural products",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
South Branch Valley Railroad Transload,WV,Moorefield,Yes,,CSX Transportation,Yes,Yes,No,"Dry bulk, liquid bulk, agriculture, forest products, construction materials, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Alabama and Tennessee River Railway Corridor,AL,Gadsden,Yes,,"CSX Transportation, Norfolk Southern",Yes,Yes,Yes,"Steel, automotive suppliers, construction materials, forest products, chemicals, port-linked manufacturing",https://omnitrax.com/alabama-tennessee-2/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Central Texas and Colorado River Railway Corridor,TX,San Saba,Yes,,BNSF Railway,Yes,Yes,No,"Aggregates, energy, agriculture, construction materials, transload-oriented manufacturing",https://omnitrax.com/central-texas-colorado-river-railway/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Georgia and Florida Railway Industrial Corridor,GA,Albany,Yes,,"CSX Transportation, Norfolk Southern",Yes,Yes,No,"Agriculture, food processing, forest products, chemicals, construction materials, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Georgia Woodlands Railroad Industrial Corridor,GA,Washington,Yes,,CSX Transportation,Yes,Yes,No,"Forest products, aggregates, agriculture, construction materials, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Cleveland Port Railway Terminal,OH,Cleveland,Yes,,"Norfolk Southern, CSX Transportation",Yes,Yes,Yes,"Steel, metals, construction materials, bulk commodities, port logistics",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Newburgh and South Shore Industrial Corridor,OH,Cleveland,Yes,,"Norfolk Southern, CSX Transportation",Yes,Yes,Yes,"Steel, metals, chemicals, bulk materials, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Nebraska Kansas and Colorado Railway Corridor,NE,Grant,Yes,,"BNSF Railway, Union Pacific",Yes,Yes,No,"Agriculture, grain, fertilizer, energy, construction materials, warehousing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Kettle Falls International Railway Corridor,WA,Kettle Falls,Yes,,"BNSF Railway, Canadian Pacific Kansas City",Yes,Yes,No,"Forest products, agriculture, minerals, construction materials, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Santa Maria Valley Railroad Industrial Sites,CA,Santa Maria,Yes,,Union Pacific,Yes,Yes,Yes,"Food and agriculture, wine and beverage, construction materials, warehousing, manufacturing",https://omnitrax.com/locations/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
Sonoran Valley Rail Industrial Corridor,AZ,Maricopa,Yes,,Union Pacific,Yes,Yes,No,"Manufacturing, warehousing, construction materials, food and agriculture, energy",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Sunrise Industrial Rail Corridor,NY,Massena,Yes,,"CSX Transportation, Canadian National",Yes,Yes,Yes,"Metals, forest products, energy, chemicals, cross-border logistics, manufacturing",https://omnitrax.com/locations/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
